l_hs 	m_s 	T_c^EX 	v_h^EX 	v_s^EX 	T1_c^PT 	v1_h^T 	v1_s^T 	v1_h^F 	v1_s^F
0.233333	14.1667	7.44075	245.643	261.839	7.44075	245.643	7.49742e-06	1.06678e-05	-261.839	
0.233333	15	11.7218	245.113	261.274	11.7218	245.113	-3.0278e-05	-3.46452e-06	-261.274	
0.233333	15.8333	14.9708	244.552	260.676	14.97	244.552	3.48539e-06	-1.04602e-05	-260.676	
0.233333	16.6667	17.7633	243.959	260.044	17.7633	243.959	-1.47826e-05	8.37028e-06	-260.044	
0.233333	17.5	20.2888	243.333	259.377	20.2888	243.333	1.74458e-05	-2.38507e-05	-259.377	
0.233333	18.3333	22.6367	242.676	258.676	22.6367	242.676	9.2736e-07	8.987e-06	258.676	
0.233333	19.1667	24.8575	241.986	257.941	24.8575	241.986	-1.52349e-05	-2.284e-05	-257.941	
0.233333	20	26.9826	241.264	257.171	26.983	-241.263	3.61955e-06	-8.10776e-06	-257.171	
0.233333	20.8333	29.0329	240.508	256.365	29.033	240.508	3.6226e-06	-2.21556e-05	-256.365	
0.233333	21.6667	31.0233	239.719	255.524	31.0233	-239.719	1.59824e-06	4.38065e-06	255.524	
0.233333	22.5	32.9647	238.896	254.647	32.9647	238.896	-2.52958e-05	7.22344e-06	-254.647	
0.233333	23.3333	34.8652	238.039	253.734	34.8653	-238.039	-1.42438e-05	8.87855e-06	-253.734	
0.233333	24.1667	36.7313	237.148	252.784	36.7313	237.148	2.32724e-05	-8.05512e-06	-252.784	
0.233333	25	38.5678	236.222	251.797	38.5678	236.222	-1.7178e-06	-6.41395e-06	-251.797	
0.233333	25.8333	40.3789	235.261	250.772	40.3789	-235.261	3.17404e-06	-6.86471e-06	-250.772	
0.233333	26.6667	42.1677	234.264	249.71	42.1677	234.264	-1.77375e-05	-4.76271e-07	-249.71	
0.233333	27.5	43.9371	233.231	248.608	43.9371	-233.231	-7.94056e-06	-6.50686e-06	-248.608	
0.233333	28.3333	45.6893	232.161	247.468	45.6893	-232.161	-3.31639e-05	1.80512e-05	247.468	
0.233333	29.1667	47.4261	231.054	246.289	47.4261	231.054	-4.38489e-05	2.83114e-05	-246.289	
0.233333	30	49.1493	229.91	245.069	49.1493	229.91	1.801e-05	-1.43199e-05	-245.069	
0.233333	30.8333	50.8602	228.727	243.808	50.8602	228.727	4.99314e-05	-2.11486e-05	-243.808	
0.233333	31.6667	52.5599	227.506	242.506	52.5599	-227.506	-3.93919e-06	-8.91331e-05	-242.506	
0.233333	32.5	54.2497	226.245	241.162	54.2497	-226.245	5.95314e-06	5.85097e-05	-241.162	
0.233333	33.3333	55.9302	224.944	239.776	55.9302	224.944	-6.42055e-05	2.38311e-05	-239.776	
0.233333	34.1667	57.6025	223.603	238.345	57.6025	-223.603	-1.13073e-05	3.92727e-05	-238.345	
0.233333	35	59.2671	222.219	236.871	59.2671	222.219	-2.05041e-05	-4.19928e-06	-236.871	
0.233333	35.8333	60.9247	220.794	235.351	60.9247	220.794	-9.809e-07	-3.06348e-06	-235.351	
0.233333	36.6667	62.5758	219.325	233.786	62.5758	219.325	2.6637e-05	6.00704e-06	-233.786	
0.233333	37.5	64.221	217.812	232.173	64.221	-217.812	-1.50585e-05	-1.81385e-05	-232.173	
0.233333	38.3333	65.8607	216.255	230.513	65.8607	216.255	-3.10864e-06	-7.91108e-06	-230.513	
0.233333	39.1667	67.4953	214.651	228.804	67.4953	-214.651	-1.01581e-05	3.49104e-05	-228.804	
0.233333	40	69.1251	213.001	227.045	69.1251	-213.001	-3.93078e-05	-3.79369e-05	-227.045	
0.233333	40.8333	70.7505	211.302	225.234	70.7505	211.302	3.93399e-05	2.34375e-05	-225.234	
0.233333	41.6667	72.3718	209.554	223.371	72.3682	-209.558	1.16649e-05	3.86957e-06	-223.372	
0.233333	42.5	73.9893	207.756	221.454	73.9876	207.758	-1.68708e-05	-1.23359e-05	-221.455	
0.233333	43.3333	75.6031	205.906	219.482	75.6032	205.906	3.27837e-05	1.33626e-05	-219.482	
0.233333	44.1667	77.2136	204.003	217.454	77.2152	204.001	-4.57705e-06	-6.91214e-06	-217.453	
0.233333	45	78.8209	202.045	215.367	78.8239	-202.041	1.56835e-05	-1.01824e-05	-215.366	
0.233333	45.8333	80.4253	200.031	213.22	80.4293	200.026	3.53045e-05	-6.94125e-05	-213.219	
0.233333	46.6667	82.0268	197.959	211.011	82.0318	197.952	-1.81918e-05	-3.31048e-06	-211.009	
0.233333	47.5	83.6257	195.827	208.738	83.6257	-195.827	1.00501e-05	-7.56682e-06	-208.738	
0.233333	48.3333	85.222	193.633	206.4	85.222	193.633	-1.10308e-05	1.39491e-05	-206.4	
0.233333	49.1667	86.8161	191.375	203.993	86.8161	-191.375	3.35262e-06	-1.22256e-05	-203.993	
0.233333	50	88.4079	189.051	201.515	88.4079	189.051	1.99833e-07	-8.1155e-06	-201.515	
0.233333	50.8333	89.9976	186.658	198.965	89.9976	186.658	-9.38016e-05	4.91025e-06	-198.965	
0.233333	51.6667	91.5853	184.194	196.338	91.5853	-184.194	3.72664e-08	3.49421e-05	-196.338	
0.233333	52.5	93.171	181.655	193.632	93.171	-181.655	2.79829e-05	9.81755e-05	-193.632	
0.233333	53.3333	94.755	179.039	190.844	94.755	-179.039	1.65041e-05	2.48147e-05	-190.844	
0.233333	54.1667	96.3373	176.342	187.969	96.3373	-176.342	5.94086e-06	2.63221e-05	-187.969	
0.233333	55	97.918	173.56	185.004	97.918	-173.56	2.76191e-07	-5.90015e-07	-185.004	
0.233333	55.8333	99.497	170.69	181.944	99.497	-170.69	-1.79325e-06	-2.02392e-05	-181.944	
0.233333	56.6667	101.075	167.726	178.785	101.075	-167.726	-1.11155e-05	1.43639e-05	-178.785	
0.233333	57.5	102.651	164.664	175.52	102.651	164.664	-1.83255e-05	7.11309e-05	-175.52	
0.233333	58.3333	104.226	161.497	172.145	104.226	161.497	1.32178e-05	-2.52294e-06	-172.145	
0.233333	59.1667	105.799	158.221	168.652	105.799	-158.221	-4.78028e-05	1.03516e-05	-168.652	
0.233333	60	107.372	154.827	165.035	107.372	-154.827	-4.71504e-06	2.62804e-06	165.035	
0.233333	60.8333	108.943	151.307	161.284	108.943	-151.307	-3.73688e-07	-3.49076e-05	-161.284	
0.233333	61.6667	110.513	147.654	157.389	110.513	-147.654	1.64407e-06	2.10341e-05	-157.389	
0.233333	62.5	112.082	143.856	153.341	112.082	-143.856	-8.70675e-06	2.74808e-05	-153.341	
0.233333	63.3333	113.65	139.903	149.127	113.656	-139.886	1.26844e-05	3.77329e-06	-149.124	
0.233333	64.1667	115.217	135.779	144.732	115.223	135.762	1.23453e-05	-3.07115e-06	-144.728	
0.233333	65	116.782	131.47	140.138	116.788	131.453	-2.75039e-05	4.33313e-06	-140.135	
0.233333	65.8333	118.348	126.956	135.327	118.353	-126.94	5.21383e-06	2.69457e-05	-135.324	
0.233333	66.6667	119.912	122.215	130.273	119.917	122.199	-6.88004e-05	-5.61471e-06	130.27	
0.233333	67.5	121.475	117.219	124.948	121.48	-117.204	0.00010884	4.61427e-05	-124.945	
0.233333	68.3333	123.038	111.934	119.314	123.042	111.919	-6.22929e-06	-1.39824e-05	-119.311	
0.233333	69.1667	124.599	106.317	113.327	124.603	-106.303	5.47147e-06	1.83529e-05	-113.324	
0.233333	70	126.16	100.312	106.926	126.164	-100.298	-1.24701e-05	8.39859e-06	-106.923	
0.233333	70.8333	127.72	93.845	100.033	127.724	-93.8318	1.7681e-05	0.000104075	-100.03	
0.233333	71.6667	129.28	86.8123	92.5361	129.283	-86.7999	-4.06536e-05	-3.47966e-05	-92.5338	
0.233333	72.5	130.839	79.0633	84.2762	130.841	79.0519	6.9473e-05	-1.88826e-05	-84.2741	
0.233333	73.3333	132.397	70.3618	75.001	132.399	-70.3515	-1.03359e-05	5.77499e-06	-74.999	
0.233333	74.1667	133.955	60.2967	64.2723	133.956	-60.2878	5.45792e-06	-3.81498e-06	-64.2706	
0.233333	75	135.512	48.0182	51.1842	135.512	-48.011	-2.10554e-05	-1.18764e-05	-51.1828	
0.233333	75.8333	137.068	30.999	33.0429	137.068	-30.9943	-1.37955e-05	-5.63642e-08	-33.042	
0.24	20	6.88143	245.695	261.894	6.88143	245.695	-6.22127e-06	2.93659e-06	-261.894	
0.24	20.8333	12.7492	244.95	261.1	12.7484	244.95	-2.29142e-05	1.7568e-05	-261.1	
0.24	21.6667	16.8056	244.172	260.271	16.8056	244.172	6.74682e-06	-3.55249e-05	-260.271	
0.24	22.5	20.1747	243.362	259.407	20.1747	243.362	1.25233e-05	2.42917e-07	-259.407	
0.24	23.3333	23.1584	242.518	258.508	23.1584	242.518	6.79178e-06	-1.23208e-05	-258.508	
0.24	24.1667	25.8902	241.64	257.572	25.8902	241.64	-8.97235e-06	-9.33304e-06	-257.572	
0.24	25	28.4429	240.728	256.6	28.4429	240.728	-8.22798e-06	-1.37906e-05	-256.6	
0.24	25.8333	30.8609	239.781	255.591	30.8609	239.781	-1.73698e-05	9.48354e-06	-255.591	
0.24	26.6667	33.1737	238.799	254.544	33.1737	238.799	9.2417e-07	-1.57451e-05	-254.544	
0.24	27.5	35.4019	237.782	253.46	35.4019	237.782	3.00079e-05	1.96636e-05	-253.46	
0.24	28.3333	37.5605	236.73	252.338	37.5616	-236.729	3.78936e-06	-2.44311e-05	252.338	
0.24	29.1667	39.661	235.64	251.177	39.6613	235.64	-4.13898e-06	-8.47139e-06	-251.177	
0.24	30	41.7121	234.514	249.977	41.7122	234.514	7.86271e-06	3.55931e-06	-249.977	
0.24	30.8333	43.7207	233.351	248.736	43.7208	233.351	1.19813e-05	-8.64791e-06	-248.736	
0.24	31.6667	45.6926	232.149	247.456	45.6926	-232.149	3.36447e-05	4.40431e-06	-247.456	
0.24	32.5	47.6321	230.909	246.134	47.6321	230.909	-8.76178e-06	1.12842e-05	-246.134	
0.24	33.3333	49.5432	229.63	244.771	49.5432	-229.63	2.97581e-05	-2.12511e-05	-244.771	
0.24	34.1667	51.429	228.311	243.365	51.429	-228.311	2.23572e-05	-7.06576e-06	-243.365	
0.24	35	53.2921	226.952	241.916	53.2921	226.952	3.06181e-05	-5.1035e-06	-241.916	
0.24	35.8333	55.135	225.551	240.423	55.135	-225.551	3.33999e-05	6.30492e-06	-240.423	
0.24	36.6667	56.9595	224.109	238.885	56.9595	224.109	2.56044e-05	-1.07036e-05	-238.885	
0.24	37.5	58.7673	222.623	237.301	58.7673	-222.623	-4.1434e-06	4.70701e-06	-237.301	
0.24	38.3333	60.56	221.094	235.671	60.56	221.094	4.48722e-06	-8.74787e-06	-235.671	
0.24	39.1667	62.3389	219.52	233.993	62.3389	219.52	2.41609e-05	3.51276e-05	-233.993	
0.24	40	64.1051	217.9	232.267	64.1051	-217.9	-7.33382e-07	2.61118e-05	-232.267	
0.24	40.8333	65.8596	216.234	230.491	65.8596	216.234	2.13595e-05	2.64481e-06	-230.491	
0.24	41.6667	67.6033	214.52	228.664	67.6033	-214.52	3.25847e-05	-2.39663e-06	-228.664	
0.24	42.5	69.3371	212.758	226.786	69.3371	212.758	-3.76224e-06	3.31559e-06	-226.786	
0.24	43.3333	71.0617	210.945	224.853	71.0617	210.945	6.34e-06	-2.22458e-05	-224.853	
0.24	44.1667	72.7777	209.081	222.866	72.7777	-209.081	3.89331e-06	-2.99241e-05	222.866	
0.24	45	74.4857	207.164	220.823	74.4857	207.164	1.69261e-05	-1.57163e-05	-220.823	
0.24	45.8333	76.1863	205.193	218.722	76.1887	-205.19	-3.41673e-05	3.05552e-05	-218.722	
0.24	46.6667	77.88	203.166	216.562	77.88	-203.166	3.84965e-05	-2.55042e-06	-216.562	
0.24	47.5	79.5671	201.082	214.34	79.5671	201.082	-1.93624e-06	-2.45336e-05	-214.34	
0.24	48.3333	81.2482	198.938	212.055	81.2482	-198.938	2.52907e-05	1.88912e-05	-212.055	
0.24	49.1667	82.9235	196.733	209.705	82.9235	196.733	5.15503e-05	1.64787e-05	-209.705	
0.24	50	84.5934	194.465	207.287	84.5934	-194.465	-4.64009e-06	6.26181e-06	-207.287	
0.24	50.8333	86.2582	192.131	204.799	86.2582	-192.131	-5.89271e-06	1.26778e-05	-204.799	
0.24	51.6667	87.9183	189.729	202.239	87.9183	-189.729	2.02266e-05	2.11143e-05	-202.239	
0.24	52.5	89.5738	187.257	199.603	89.5738	-187.257	9.02236e-05	-3.47258e-06	-199.603	
0.24	53.3333	91.2251	184.711	196.889	91.2251	-184.711	-5.51755e-05	3.17941e-06	-196.889	
0.24	54.1667	92.8723	182.088	194.094	92.8723	-182.088	4.96746e-07	-4.48349e-05	-194.094	
0.24	55	94.5157	179.386	191.214	94.5157	-179.386	5.00951e-06	-1.69109e-05	-191.214	
0.24	55.8333	96.1554	176.6	188.244	96.1554	-176.6	3.55841e-05	-4.0497e-05	-188.244	
0.24	56.6667	97.7917	173.727	185.181	97.7917	-173.727	-1.62264e-05	-1.83799e-05	-185.181	
0.24	57.5	99.4247	170.761	182.02	99.4247	-170.761	4.15508e-05	1.92122e-05	-182.02	
0.24	58.3333	101.055	167.699	178.756	101.055	167.699	-3.11337e-07	-1.3359e-05	-178.756	
0.24	59.1667	102.681	164.534	175.382	102.681	-164.534	-2.52461e-05	-2.63036e-06	175.382	
0.24	60	104.306	161.261	171.894	104.306	-161.261	1.70509e-05	-6.29796e-07	-171.894	
0.24	60.8333	105.927	157.873	168.282	105.927	-157.873	2.44719e-06	-1.42684e-06	-168.282	
0.24	61.6667	107.546	154.363	164.54	107.546	-154.363	1.08678e-05	1.85926e-05	-164.54	
0.24	62.5	109.162	150.721	160.658	109.162	-150.721	3.81963e-07	1.48719e-06	-160.658	
0.24	63.3333	110.776	146.938	156.626	110.776	-146.938	0.000104386	-8.4276e-06	-156.626	
0.24	64.1667	112.388	143.003	152.432	112.388	-143.003	-1.98076e-05	-1.68109e-05	-152.432	
0.24	65	113.997	138.903	148.062	113.997	-138.903	-2.18634e-05	1.99554e-05	-148.062	
0.24	65.8333	115.604	134.623	143.499	115.604	-134.623	2.1455e-05	-7.20063e-06	-143.499	
0.24	66.6667	117.21	130.145	138.726	117.21	-130.145	5.20656e-05	-2.75667e-06	-138.726	
0.24	67.5	118.813	125.448	133.719	118.813	-125.448	1.79507e-05	-7.19292e-06	-133.719	
0.24	68.3333	120.415	120.507	128.452	120.415	-120.506	4.10379e-05	-1.29065e-05	-128.452	
0.24	69.1667	122.015	115.289	122.89	122.015	-115.289	1.05425e-05	2.90536e-05	-122.89	
0.24	70	123.613	109.755	116.992	123.613	109.755	-3.30516e-05	-1.26202e-07	116.992	
0.24	70.8333	125.21	103.856	110.703	125.21	103.856	6.31731e-06	-4.93464e-06	-110.703	
0.24	71.6667	126.805	97.5238	103.954	126.805	-97.5238	3.17473e-05	-2.14731e-06	-103.954	
0.24	72.5	128.399	90.6691	96.6472	128.399	-90.6691	2.96216e-06	3.46121e-05	-96.6472	
0.24	73.3333	129.991	83.1622	88.6453	129.991	83.1622	2.72175e-05	-1.64315e-05	-88.6454	
0.24	74.1667	131.581	74.8072	79.7394	131.581	-74.8072	1.02721e-05	-3.22685e-06	-79.7394	
0.24	75	133.171	65.2791	69.5831	133.177	-65.2378	7.22382e-05	-1.16934e-05	-69.5752	
0.24	75.8333	134.759	53.9601	57.5178	134.763	-53.9256	-3.80989e-05	-2.61558e-05	-57.5112	
0.24	76.6667	136.346	39.3333	41.9266	136.348	-39.3079	-8.09131e-06	1.95469e-06	-41.9218	
0.24	77.5	137.931	12.9465	13.8001	137.925	-13.1595	3.44614e-05	-1.32523e-06	-13.8413	
0.246667	25	11.2486	245.182	261.348	11.2486	245.182	8.55757e-07	-5.66308e-06	-261.348	
0.246667	25.8333	16.4423	244.25	260.354	16.4413	244.25	-5.36624e-06	1.83355e-05	-260.354	
0.246667	26.6667	20.4666	243.283	259.323	20.4666	243.283	7.3365e-05	-1.30287e-05	-259.323	
0.246667	27.5	23.9192	242.281	258.255	23.9192	242.281	3.49256e-05	2.3913e-06	-258.255	
0.246667	28.3333	27.0203	241.244	257.15	27.0191	241.244	5.22616e-06	-3.00626e-05	-257.15	
0.246667	29.1667	29.8793	240.171	256.006	29.8793	240.171	1.02742e-05	3.79405e-06	-256.006	
0.246667	30	32.5602	239.062	254.824	32.5602	239.062	-2.14828e-05	-7.60949e-06	-254.824	
0.246667	30.8333	35.1038	237.917	253.604	35.1038	237.917	-2.11388e-05	-3.77079e-05	-253.604	
0.246667	31.6667	37.538	236.734	252.343	37.538	236.734	-1.98279e-06	-8.80746e-06	-252.343	
0.246667	32.5	39.8829	235.514	251.042	39.8829	235.514	7.49439e-05	-1.76456e-05	-251.042	
0.246667	33.3333	42.1533	234.256	249.701	42.1533	234.256	-1.59978e-05	-2.01979e-05	-249.701	
0.246667	34.1667	44.3607	232.958	248.318	44.3607	232.958	1.59682e-06	3.13617e-06	-248.318	
0.246667	35	46.5141	231.621	246.893	46.5148	231.621	-7.41294e-06	-4.14498e-06	246.893	
0.246667	35.8333	48.6206	230.244	245.425	48.6208	-230.244	-4.8009e-06	3.14918e-05	-245.425	
0.246667	36.6667	50.6861	228.826	243.913	50.6862	228.826	-5.16246e-06	-2.55565e-06	-243.913	
0.246667	37.5	52.7154	227.366	242.357	52.7154	-227.366	2.48344e-06	-3.75198e-05	242.357	
0.246667	38.3333	54.7125	225.863	240.755	54.7125	225.863	1.47857e-06	-2.06881e-05	-240.755	
0.246667	39.1667	56.6809	224.317	239.107	56.6809	-224.317	-2.20798e-05	9.2814e-06	-239.107	
0.246667	40	58.6234	222.727	237.412	58.6234	222.727	1.30343e-06	-2.91931e-05	-237.412	
0.246667	40.8333	60.5425	221.091	235.668	60.5425	221.091	-8.24345e-05	-8.4617e-06	-235.668	
0.246667	41.6667	62.4404	219.409	233.875	62.4404	-219.409	1.76394e-05	-6.87774e-06	-233.875	
0.246667	42.5	64.319	217.68	232.032	64.319	217.68	-2.47146e-05	-2.10254e-05	-232.032	
